# Version 1.00
#
freq[Hz]	re:Trc1_S11	im:Trc1_S11	re:Trc2_S11	im:Trc2_S11	
1.890000000000000E+008	1.507479883730412E-002	-7.069034576416016E-001	1.507479883730412E-002	-7.069034576416016E-001	
1.895000000000000E+008	-1.405148208141327E-001	-6.926443576812744E-001	-1.405148208141327E-001	-6.926443576812744E-001	
1.900000000000000E+008	-2.876074910163879E-001	-6.445015668869019E-001	-2.876074910163879E-001	-6.445015668869019E-001	
1.905000000000000E+008	-4.200124740600586E-001	-5.679183602333069E-001	-4.200124740600586E-001	-5.679183602333069E-001	
1.910000000000000E+008	-5.318418145179749E-001	-4.621484875679016E-001	-5.318418145179749E-001	-4.621484875679016E-001	
1.915000000000000E+008	-6.182575225830078E-001	-3.373908102512360E-001	-6.182575225830078E-001	-3.373908102512360E-001	
1.920000000000000E+008	-6.764210462570190E-001	-1.977059096097946E-001	-6.764210462570190E-001	-1.977059096097946E-001	
1.925000000000000E+008	-7.031252980232239E-001	-4.781877249479294E-002	-7.031252980232239E-001	-4.781877249479294E-002	
1.930000000000000E+008	-6.963779926300049E-001	1.024309098720551E-001	-6.963779926300049E-001	1.024309098720551E-001	
1.935000000000000E+008	-6.591780185699463E-001	2.475521862506867E-001	-6.591780185699463E-001	2.475521862506867E-001	
1.940000000000000E+008	-5.909108519554138E-001	3.807008564472199E-001	-5.909108519554138E-001	3.807008564472199E-001	
1.945000000000000E+008	-4.974460899829865E-001	4.960750937461853E-001	-4.974460899829865E-001	4.960750937461853E-001	
1.950000000000000E+008	-3.814509809017181E-001	5.899968743324280E-001	-3.814509809017181E-001	5.899968743324280E-001	
1.955000000000000E+008	-2.474226653575897E-001	6.577053666114807E-001	-2.474226653575897E-001	6.577053666114807E-001	
1.960000000000000E+008	-1.024772673845291E-001	6.947649717330933E-001	-1.024772673845291E-001	6.947649717330933E-001	
1.965000000000000E+008	4.608949273824692E-002	6.997262239456177E-001	4.608949273824692E-002	6.997262239456177E-001	
1.970000000000000E+008	1.959826350212097E-001	6.748962402343750E-001	1.959826350212097E-001	6.748962402343750E-001	
1.975000000000000E+008	3.318482339382172E-001	6.159943938255310E-001	3.318482339382172E-001	6.159943938255310E-001	
1.980000000000000E+008	4.552628993988037E-001	5.308226943016052E-001	4.552628993988037E-001	5.308226943016052E-001	
1.985000000000000E+008	5.583872199058533E-001	4.205807149410248E-001	5.583872199058533E-001	4.205807149410248E-001	
1.990000000000000E+008	6.347312927246094E-001	2.898496389389038E-001	6.347312927246094E-001	2.898496389389038E-001	
1.995000000000000E+008	6.807277798652649E-001	1.460847407579422E-001	6.807277798652649E-001	1.460847407579422E-001	
2.000000000000000E+008	6.959654688835144E-001	-6.963563617318869E-003	6.959654688835144E-001	-6.963563617318869E-003	
